iter	Passed	Remaining
400	16219	24228
401	16256	24183
402	16295	24139
403	16332	24094
404	16371	24052
405	16409	24007
406	16444	23959
407	16482	23916
408	16520	23871
409	16560	23830
410	16596	23784
411	16636	23743
412	16676	23702
413	16715	23660
414	16754	23618
415	16794	23577
416	16830	23530
417	16868	23487
418	16908	23446
419	16950	23407
420	16992	23369
421	17029	23325
422	17067	23281
423	17107	23239
424	17146	23197
425	17183	23153
426	17224	23113
427	17260	23068
428	17300	23026
429	17339	22984
430	17376	22940
431	17417	22900
432	17456	22859
433	17498	22820
434	17538	22779
435	17576	22736
436	17614	22692
437	17650	22648
438	17689	22605
439	17728	22562
440	17767	22521
441	17803	22475
442	17842	22433
443	17902	22417
444	17946	22382
445	17986	22342
446	18022	22296
447	18064	22257
448	18101	22213
449	18139	22170
450	18180	22130
451	18219	22088
452	18256	22044
453	18295	22003
454	18332	21959
455	18371	21917
456	18412	21877
457	18452	21836
458	18491	21795
459	18531	21754
460	18568	21710
461	18608	21669
462	18646	21626
463	18684	21584
464	18724	21543
465	18763	21501
466	18803	21460
467	18840	21417
468	18881	21377
469	18919	21334
470	18957	21292
471	18997	21251
472	19034	21208
473	19071	21164
474	19110	21121
475	19149	21080
476	19217	21070
477	19256	21029
478	19294	20986
479	19331	20942
480	19369	20899
481	19409	20859
482	19451	20821
483	19491	20780
484	19528	20736
485	19569	20696
486	19607	20654
487	19644	20610
488	19682	20568
489	19721	20526
490	19757	20481
491	19795	20439
492	19834	20397
493	19873	20356
494	19914	20316
495	19958	20280
496	19998	20239
497	20037	20198
498	20076	20157
499	20114	20114
500	20151	20071
501	20189	20029
502	20232	19991
503	20269	19948
504	20309	19907
505	20346	19864
506	20384	19821
507	20420	19777
508	20460	19736
509	20498	19694
510	20534	19650
511	20573	19608
512	20611	19567
513	20651	19526
514	20691	19485
515	20728	19443
516	20767	19401
517	20807	19361
518	20843	19317
519	20884	19278
520	20921	19234
521	20958	19192
522	20999	19152
523	21038	19111
524	21081	19073
525	21120	19032
526	21158	18990
527	21195	18947
528	21233	18905
529	21272	18864
530	21312	18824
531	21351	18782
532	21387	18738
533	21422	18694
534	21464	18656
535	21504	18616
536	21542	18574
537	21580	18532
538	21620	18491
539	21662	18453
540	21704	18415
541	21741	18372
542	21780	18330
543	21817	18288
544	21853	18244
545	21892	18203
546	21932	18163
547	21969	18120
548	22008	18080
549	22047	18038
550	22086	17997
551	22122	17954
552	22161	17913
553	22199	17872
554	22238	17831
555	22277	17789
556	22316	17749
557	22353	17706
558	22391	17665
559	22430	17623
560	22466	17580
561	22504	17538
562	22542	17497
563	22581	17456
564	22621	17416
565	22659	17375
566	22697	17333
567	22737	17293
568	22774	17250
569	22810	17208
570	22849	17167
571	22886	17124
572	22925	17083
573	22966	17044
574	23007	17005
575	23046	16964
576	23086	16924
577	23126	16884
578	23170	16847
579	23215	16811
580	23253	16769
581	23300	16735
582	23347	16699
583	23397	16666
584	23447	16633
585	23493	16597
586	23541	16563
587	23588	16527
588	23634	16491
589	23674	16451
590	23714	16411
591	23755	16371
592	23795	16332
593	23836	16292
594	23878	16253
595	23916	16211
596	23959	16173
597	24005	16137
598	24047	16098
599	24089	16059
600	24128	16018
601	24176	15983
602	24221	15946
603	24257	15904
604	24298	15864
605	24345	15828
606	24390	15791
607	24427	15749
608	24465	15707
609	24504	15666
610	24540	15624
611	24579	15583
612	24619	15542
613	24657	15501
614	24697	15460
615	24735	15419
616	24771	15376
617	24848	15359
618	24910	15332
619	24948	15291
620	24986	15249
621	25027	15209
622	25065	15168
623	25103	15126
624	25142	15085
625	25181	15044
626	25222	15004
627	25258	14962
628	25297	14920
629	25336	14880
630	25373	14837
631	25411	14796
632	25452	14756
633	25491	14715
634	25531	14675
635	25570	14634
636	25613	14595
637	25659	14559
638	25711	14525
639	25755	14487
640	25796	14447
641	25834	14406
642	25878	14368
643	25934	14336
644	25983	14301
645	26030	14264
646	26073	14225
647	26115	14186
648	26157	14146
649	26207	14111
650	26262	14079
651	26311	14043
652	26358	14006
653	26398	13966
654	26440	13926
655	26480	13886
656	26519	13844
