iter	RMSE
136	1.237080363
137	1.22659457
138	1.215779523
139	1.204889274
140	1.194310718
141	1.184224931
142	1.17394735
143	1.164926577
144	1.15598468
145	1.146974141
146	1.138598684
147	1.129977466
148	1.121330108
149	1.113063634
150	1.104682341
151	1.09684835
152	1.088824974
153	1.081230969
154	1.073653645
155	1.066297993
156	1.059418492
157	1.052775074
158	1.046216754
159	1.039896251
160	1.033356415
161	1.027807256
162	1.021881745
163	1.015486788
164	1.009386408
165	1.003734184
166	0.9980768447
167	0.9921147997
168	0.9861876563
169	0.9808148365
170	0.9758203474
171	0.9709330273
172	0.9659462091
173	0.961332571
174	0.9572461467
175	0.9528626311
176	0.9478753171
177	0.9432253506
178	0.9383340794
179	0.9340961998
180	0.9297328922
181	0.925076838
182	0.9214405348
183	0.9172529329
184	0.9133666354
185	0.9096066322
186	0.9058220576
187	0.9021940538
188	0.8986486121
189	0.895536573
190	0.8926778062
191	0.8890300372
192	0.8861208618
193	0.8822522298
194	0.8789151217
195	0.8755050205
196	0.872264152
197	0.8694284422
198	0.8663849762
199	0.8635592943
200	0.8604453191
201	0.8571570427
202	0.8543713983
203	0.8513151517
204	0.8484332741
205	0.8455761039
206	0.8433453877
207	0.8407647722
208	0.8379199143
209	0.8353664751
210	0.8327863672
211	0.8304155571
212	0.8280091945
213	0.8253443344
214	0.8235326366
215	0.8207390863
216	0.818471706
217	0.8156826274
218	0.8130600934
219	0.810758607
220	0.808403155
221	0.8059986908
222	0.8038472898
223	0.8021690941
224	0.7998354332
225	0.7976334228
226	0.7950850193
227	0.7928886047
228	0.7902609456
229	0.7878708296
230	0.7850751768
231	0.7833971034
232	0.7813446137
233	0.7794155
234	0.7768107657
235	0.7744557688
236	0.7724021964
237	0.7705525135
238	0.7681810029
239	0.766077795
240	0.7641249261
241	0.7624265719
242	0.7603950587
243	0.7583549185
244	0.7569373402
245	0.7550911259
246	0.7530396782
247	0.7508409967
248	0.7491452268
249	0.7475915641
250	0.7460209941
251	0.7440699488
252	0.7427080392
253	0.7409541853
254	0.7395432992
255	0.7375830753
256	0.7355266398
257	0.73425985
258	0.7319868137
259	0.7299024609
260	0.7281205969
261	0.7264532731
262	0.7249469611
263	0.7233515786
264	0.7219714932
265	0.7204056903
266	0.7181922538
267	0.716408843
268	0.7150330077
269	0.7132138329
270	0.7117706843
271	0.7100863732
272	0.7089145665
273	0.7078558837
274	0.7069595169
275	0.7056320264
276	0.7039513514
277	0.7023803048
278	0.7001172958
279	0.6986644687
280	0.6971942155
281	0.6951161339
282	0.6937189984
283	0.6923939517
284	0.6906969096
285	0.689875309
286	0.6884198003
287	0.6871234056
288	0.685542843
289	0.6838011775
290	0.6823681542
291	0.6809636276
292	0.6793257992
293	0.6784798717
294	0.6774717031
295	0.6760629481
296	0.6749771362
297	0.6734363579
298	0.6718401711
299	0.6705662593
300	0.6695209309
301	0.668525548
302	0.6672282255
303	0.6656666657
304	0.6642063798
305	0.6632237083
306	0.6618713501
307	0.6606630408
308	0.6593180972
309	0.6577763774
310	0.6563378479
311	0.6547719647
312	0.6536489393
313	0.6523374816
314	0.6516257702
315	0.6502662751
316	0.6490987938
317	0.6478552452
318	0.6468322618
319	0.6459556245
320	0.6447375467
321	0.6438048092
322	0.6430488549
323	0.6415373676
324	0.6406528403
325	0.6394315569
326	0.6382973558
327	0.6368163284
328	0.6359219225
329	0.6347989932
330	0.6334649041
331	0.6325383421
332	0.6313006602
333	0.6303072749
334	0.6296376125
335	0.628470795
336	0.6277882238
337	0.6268324672
338	0.6261095855
339	0.6248889522
340	0.6235342435
341	0.622130014
342	0.6208383748
343	0.6198159888
344	0.6187737877
345	0.6178727068
346	0.6166900214
347	0.615589029
348	0.6144394554
349	0.6134056879
350	0.6124978583
351	0.6113309795
352	0.6101529846
353	0.6090981027
354	0.6079267046
355	0.6069544246
356	0.6062808596
357	0.6055358092
358	0.6043576177
359	0.6032611874
360	0.6022731482
361	0.6014101852
362	0.6004576131
363	0.599160489
364	0.5980295366
365	0.5966430029
366	0.5957359038
367	0.5946701754
368	0.5939223345
369	0.5929064747
370	0.5915780996
371	0.590377927
372	0.5898119441
373	0.5889852488
374	0.5877666735
375	0.5866957542
376	0.5862082892
377	0.5852633576
378	0.5840408512
379	0.5833910652
380	0.5827095639
381	0.5819305457
382	0.5810010273
383	0.5801486364
384	0.5793143058
385	0.5782484088
386	0.5772419332
387	0.5760654576
388	0.5750787179
389	0.574310186
390	0.573597388
391	0.5726981188
392	0.5718183538
393	0.5708189343
394	0.5697859885
395	0.5690400384
396	0.567954041
397	0.5670109342
398	0.5665357876
399	0.5659518601
400	0.5652251502
401	0.5642565266
402	0.5631137687
403	0.5620099768
404	0.561131554
405	0.5606778264
406	0.5596153045
407	0.5589674744
408	0.5582513982
409	0.5574309745
410	0.5566902291
411	0.5558398512
412	0.555177274
413	0.5544794676
414	0.5536706002
415	0.5529182154
416	0.5521902506
417	0.5515703525
418	0.550839722
419	0.5499811909
420	0.5493214639
421	0.5484543584
422	0.5477182405
423	0.5468386604
424	0.5460945417
425	0.5452952167
426	0.5445560849
427	0.5441247135
428	0.5434575293
429	0.5427035404
430	0.5416194308
431	0.5409207057
432	0.5400758049
433	0.5394498829
434	0.5384649962
435	0.5375731827
436	0.5369096121
437	0.5360321665
438	0.535522374
439	0.5349048027
440	0.5342657334
441	0.5334048024
442	0.5330301892
443	0.5325448105
444	0.5318798052
445	0.5312258581
446	0.5306917244
447	0.5300632968
448	0.5289545151
449	0.5281541579
450	0.5275928746
451	0.5269954408
452	0.5264363326
453	0.5254527096
454	0.5246799267
455	0.5240270355
456	0.5229203759
457	0.522373161
458	0.5217271773
459	0.5210770036
460	0.5202207481
461	0.5196407398
462	0.5190416782
463	0.5183651645
464	0.5177404877
465	0.5171736561
466	0.5168332362
467	0.5163877849
468	0.515752127
469	0.5150881431
470	0.5145818374
471	0.5141119594
472	0.5134790875
473	0.5130838336
474	0.5123140851
475	0.5112237286
476	0.5108969828
477	0.5102511019
478	0.5096241048
479	0.5086695642
480	0.5082508668
481	0.5073844929
482	0.5065927952
483	0.5059778121
484	0.505353451
485	0.504812643
486	0.5040232428
487	0.5036302397
488	0.5029725023
489	0.5024451773
490	0.5020281087
491	0.5014141595
492	0.5009552341
493	0.5004836709
494	0.5000094353
495	0.4994545826
496	0.4989865378
497	0.4980605016
498	0.4976390655
499	0.4969900246
500	0.4962876856
501	0.4954704014
502	0.4946840515
503	0.4942487227
504	0.4937632163
505	0.4931376852
506	0.4925697221
507	0.4921457735
508	0.4914660136
509	0.4909501771
510	0.4903625966
511	0.4897919447
512	0.489491816
513	0.4889948451
514	0.4884344946
515	0.4879571851
516	0.4874146594
517	0.4870020173
518	0.486340377
519	0.4857916262
520	0.4852223475
521	0.4849085785
522	0.4843822041
523	0.4837008929
524	0.4833517292
525	0.4827396264
526	0.4822428525
527	0.4819252151
528	0.4815855591
529	0.4811322638
530	0.4802335382
531	0.4797209981
532	0.4791160669
533	0.478619889
534	0.4782447799
535	0.4776761071
536	0.4771341837
537	0.4766943863
538	0.4762658028
539	0.4757084032
540	0.4753016901
541	0.4747204812
542	0.4741868663
543	0.4736158377
544	0.4732829157
545	0.4727927463
546	0.4722306659
547	0.4717954172
548	0.4711680998
549	0.470714697
550	0.470425772
551	0.4701611262
552	0.4695918598
553	0.4693211949
554	0.4689174247
555	0.4682938433
556	0.4678111917
557	0.4673958498
558	0.4669224637
559	0.4664557159
560	0.4658798095
561	0.4654748952
562	0.4649635376
563	0.4646684684
564	0.4642904579
565	0.4637922741
566	0.4634348061
567	0.4629853567
568	0.4625556337
569	0.4621643638
570	0.4613690401
571	0.4608849627
572	0.4606502433
573	0.4601524435
574	0.4596729623
575	0.4591972558
576	0.4587051598
577	0.4583515026
578	0.457943401
579	0.4575738629
580	0.4571945637
581	0.4567887198
582	0.4563667855
583	0.4559546999
584	0.455589011
585	0.4551024356
586	0.4546497566
587	0.4542348098
588	0.4538419337
589	0.4534408618
590	0.4532449145
591	0.45257353
592	0.4519061556
593	0.4514608912
594	0.4510460958
595	0.4506326551
596	0.450286741
597	0.4497276702
598	0.4493969731
599	0.4490237399
600	0.4487786166
601	0.4484942572
602	0.4481023742
603	0.4477690109
604	0.4473274163
605	0.4466731298
606	0.4462808523
607	0.4456848873
608	0.4452763254
609	0.4450460691
610	0.4447201442
611	0.4442654706
612	0.4438073725
613	0.4432564441
614	0.442886741
615	0.4424642114
616	0.4420527756
617	0.4415497594
618	0.4411142734
619	0.4406909646
620	0.4401684638
621	0.4398591488
622	0.4396549793
623	0.4391413681
624	0.4387886772
625	0.4384703663
626	0.4380950251
627	0.437734542
628	0.4373188603
629	0.4370158543
630	0.4366745705
631	0.4362989509
632	0.4359792095
633	0.4355644936
634	0.4352781345
635	0.4348274918
636	0.4344799256
637	0.4340277181
638	0.4338081469
639	0.4334436947
640	0.4330867799
641	0.4326404599
642	0.4322311209
643	0.4318932117
644	0.431476663
645	0.4311260925
646	0.4308156874
647	0.4304226004
648	0.4301767328
649	0.4300196717
650	0.4296332876
651	0.4293020164
652	0.4289115691
653	0.4285982405
654	0.4282422111
655	0.4278478267
656	0.4275253106
657	0.4271808909
658	0.4269981313
659	0.426605692
660	0.4262039177
661	0.4258810902
662	0.4255991359
663	0.425448565
664	0.4251689428
665	0.4249505987
666	0.4246607745
667	0.4243565048
668	0.4239967861
669	0.4237245089
670	0.4235423223
671	0.4231249768
672	0.4226693613
673	0.4224126182
674	0.4221214395
675	0.4217771573
676	0.4214932307
677	0.4212438509
678	0.4209490419
679	0.4204477757
680	0.4201592577
681	0.4198396122
682	0.4194152116
683	0.4191875714
684	0.4188001809
685	0.4185253507
686	0.4182981406
687	0.4180018798
688	0.4177487516
689	0.4175688033
690	0.4172521862
691	0.4170070926
692	0.4168391452
693	0.4165349932
694	0.4160851963
695	0.4157601019
696	0.4154507723
697	0.4149794333
698	0.4145308118
699	0.414188671
700	0.4138442275
701	0.4135561251
702	0.4132094864
703	0.4129998515
704	0.4126231699
705	0.4121482674
706	0.4118588991
707	0.4115597154
708	0.4111845937
709	0.4108203976
710	0.4104457126
711	0.410181354
712	0.4099113438
713	0.4096422914
714	0.4093675146
715	0.4090405668
716	0.4086776197
717	0.4083504726
718	0.4080330556
719	0.4076239734
720	0.4073211598
721	0.4069427507
722	0.4066370958
723	0.4064144493
724	0.4060140752
725	0.4057209854
726	0.4054117398
727	0.4050536421
728	0.4047497543
729	0.4044325089
730	0.4041401448
731	0.4039300984
732	0.4036990614
733	0.4032489307
734	0.403011508
735	0.4026847908
736	0.4023479357
737	0.4020960699
738	0.4019486737
739	0.4017134758
740	0.4014823081
741	0.4011927943
742	0.4009539321
743	0.4006923726
744	0.4003481502
745	0.400228491
746	0.3998686494
747	0.3995726295
748	0.3993201219
749	0.3988557578
750	0.3984663417
751	0.3981191705
752	0.3977908545
753	0.39753736
754	0.3973395489
755	0.397059363
756	0.3967789543
757	0.3965484662
758	0.3962971577
759	0.3960523409
760	0.39573484
761	0.3954715432
762	0.3952252018
763	0.3949733947
764	0.3947983955
765	0.3945041969
766	0.3942069526
767	0.3939442294
768	0.3936171453
769	0.3932424888
770	0.3930546106
771	0.3927768082
772	0.3925470693
773	0.392333005
774	0.3919618278
775	0.3917277213
776	0.391485369
777	0.3913319138
778	0.3910429017
779	0.390862307
780	0.3905739032
781	0.3903334776
782	0.3900499195
783	0.3899376583
784	0.3897253597
785	0.3895154399
786	0.3893558149
787	0.3890196004
788	0.3887299857
789	0.3884588686
790	0.3883369879
791	0.3882321619
792	0.3879750078
793	0.3877385254
794	0.3875582422
795	0.387210893
796	0.3869616551
797	0.3867824186
798	0.3865633107
799	0.3862982887
800	0.3860814458
801	0.3858532328
802	0.3854992581
803	0.3852979799
804	0.3851961965
805	0.3848612496
806	0.3845971575
807	0.3843401155
808	0.3841273369
809	0.383865266
810	0.383550664
811	0.3832189911
812	0.3829657888
813	0.3827657498
814	0.382520772
815	0.3822411327
816	0.3819876979
817	0.3818270213
818	0.3817183388
819	0.3813793416
820	0.3811722788
821	0.3809594073
822	0.3807371653
823	0.3804688723
824	0.3802458011
825	0.380004732
826	0.3797484624
827	0.3794598696
828	0.3791488464
829	0.3789060299
830	0.3787544979
831	0.3784984253
832	0.3782235137
833	0.3780727295
834	0.3778672293
835	0.3776850245
836	0.3774878019
837	0.3772772374
838	0.377045979
839	0.3768689141
840	0.376619627
841	0.3763697259
842	0.3761533727
843	0.3759246837
844	0.3756979683
845	0.3755255121
846	0.3752953168
847	0.3750666889
848	0.3748249393
849	0.3746124541
850	0.3742735358
851	0.3740973727
852	0.3739132989
853	0.373703366
854	0.3734711529
855	0.3732530751
856	0.3731190057
857	0.3728175914
858	0.3725273919
859	0.3723150987
860	0.3722084146
861	0.3720384625
862	0.3717874838
863	0.371523259
864	0.3713100462
865	0.3710645331
866	0.3707952995
867	0.3706002181
868	0.3703640316
869	0.3701048149
870	0.3698707019
871	0.3697235744
872	0.369524034
873	0.3693367499
874	0.3690855763
875	0.3687908733
876	0.3686117975
877	0.3683943564
878	0.3681758903
879	0.3680166852
880	0.3678458351
881	0.3676741509
882	0.3674526305
883	0.3672037636
884	0.3670303878
885	0.366834893
886	0.3667080518
887	0.3665148693
888	0.366314586
889	0.3660586428
890	0.3658439528
891	0.3656407711
892	0.3654365901
893	0.3652492472
894	0.3650595951
895	0.3648734877
896	0.3646857693
897	0.3644754773
898	0.3642729757
899	0.3641378044
900	0.3638930717
901	0.3637633108
902	0.3635051367
903	0.363279251
904	0.3631586598
905	0.3630144438
906	0.3628837346
907	0.3626759644
908	0.3624462041
909	0.3622566493
910	0.3619439024
911	0.3618258228
912	0.3616562711
913	0.3614710077
914	0.3613007414
915	0.3611218156
916	0.3609357336
917	0.3607611984
918	0.3605408513
919	0.3602966461
920	0.360090208
921	0.3598739244
922	0.3596483028
923	0.3593513562
924	0.3592332173
925	0.3590135668
926	0.3587370024
927	0.358547031
928	0.3583384731
929	0.3581573803
930	0.3579643805
931	0.3577391441
932	0.3575427814
933	0.3572842397
934	0.3570909101
935	0.3568954615
936	0.3567148144
937	0.3565132715
938	0.3562500785
939	0.3561166609
940	0.3559013301
941	0.3557090571
942	0.3555294433
943	0.3552868966
944	0.3550747327
945	0.3549063192
946	0.3547146391
947	0.3545247899
948	0.354404169
949	0.354244751
950	0.3540459378
951	0.3538832597
952	0.3537087788
953	0.3535047736
954	0.3532932364
955	0.3531542831
956	0.3529744367
957	0.3527826497
958	0.3525833638
959	0.3524159833
960	0.3522290562
961	0.3520195604
962	0.3517885873
963	0.351605981
964	0.3513953661
965	0.3512054475
966	0.3510724586
967	0.3508979056
968	0.3507149208
969	0.3505575801
970	0.3503710285
971	0.350240953
972	0.3500518117
973	0.3498597112
974	0.3496881197
975	0.3494982759
976	0.3493097035
977	0.3491396691
978	0.3489126738
979	0.3486980268
980	0.3485544496
981	0.3484100863
982	0.3482560432
983	0.3480628738
984	0.3479359269
985	0.3476868624
986	0.347549648
987	0.3473916386
988	0.3472333648
989	0.3470478064
990	0.3469008238
991	0.3467448687
992	0.3466102102
993	0.3464009874
994	0.3461913459
995	0.3460266157
996	0.3458868826
997	0.3457118526
998	0.3455413745
999	0.3454313105
